Date,Open,High,Low,Close,Volume
1/3/2000,0.0984375,0.0992188,0.0919271,0.097526,300912000
1/4/2000,0.0958333,0.0960938,0.0901042,0.0949219,300480000
1/5/2000,0.0921875,0.09375,0.0904948,0.0917969,188352000
1/6/2000,0.0917969,0.0917969,0.0822917,0.0858073,120480000
1/7/2000,0.0854167,0.088151,0.0841146,0.0872396,71184000
1/10/2000,0.0875,0.09375,0.0859375,0.0901042,239856000
1/11/2000,0.0895833,0.090625,0.0864583,0.0864583,148128000
1/12/2000,0.0864583,0.0865885,0.0830729,0.0842448,123552000
1/13/2000,0.0841146,0.0885417,0.0830729,0.0877604,132192000
1/14/2000,0.0890625,0.0951823,0.0888021,0.0915365,604560000
1/18/2000,0.0927083,0.0958333,0.0885417,0.0954427,261648000
1/19/2000,0.0958333,0.0958333,0.09375,0.0945313,164688000
1/20/2000,0.0953125,0.1005208,0.0934896,0.0942708,179568000
1/21/2000,0.0940104,0.094401,0.0908854,0.0932292,544272000
1/24/2000,0.096224,0.096224,0.0885417,0.0890625,256944000
1/25/2000,0.0894531,0.0903646,0.0854167,0.0882813,237120000
1/26/2000,0.0882813,0.090625,0.0830729,0.0846354,232464000
1/27/2000,0.0852865,0.0852865,0.0770833,0.0802083,458208000
1/28/2000,0.0791667,0.0796875,0.0747396,0.0778646,194448000
1/31/2000,0.0782552,0.0799479,0.0729167,0.0772135,182400000
2/1/2000,0.0773438,0.0796875,0.0744792,0.0790365,92976000
2/2/2000,0.0794271,0.0828125,0.0790365,0.08125,149040000
2/3/2000,0.0838542,0.0855469,0.0820313,0.0825521,108240000
2/4/2000,0.0851563,0.0851563,0.0828125,0.0845052,123696000
2/7/2000,0.0848958,0.0848958,0.0791667,0.0792969,217488000
2/8/2000,0.08125,0.0859375,0.0791667,0.0830729,468816000
2/9/2000,0.0861979,0.0876302,0.085026,0.0851563,589056000
2/10/2000,0.0903646,0.1041667,0.0903646,0.1026042,970080000
2/11/2000,0.1076823,0.1078125,0.0966146,0.1041667,423792000
2/14/2000,0.1044271,0.1208333,0.1033854,0.1208333,650112000
2/15/2000,0.1210938,0.121224,0.1111979,0.1161458,450480000
2/16/2000,0.1174479,0.1255208,0.1161458,0.1214844,1019568000
2/17/2000,0.1213542,0.1265625,0.1195313,0.1257813,535776000
2/18/2000,0.1239583,0.1421875,0.1230469,0.1403646,960864000
2/22/2000,0.1359375,0.1377604,0.13125,0.1364583,542496000
2/23/2000,0.1348958,0.1386719,0.1332031,0.1372396,511392000
2/24/2000,0.1380208,0.1389323,0.1302083,0.1359375,244320000
2/25/2000,0.1360677,0.1360677,0.121875,0.127474,278736000
2/28/2000,0.1268229,0.128125,0.1244792,0.1265625,517872000
2/29/2000,0.1257813,0.1348958,0.1257813,0.1333333,306048000
3/1/2000,0.1333333,0.1333333,0.1273438,0.1294271,383568000
3/2/2000,0.1304688,0.1304688,0.1203125,0.1207031,191040000
3/3/2000,0.1208333,0.1239583,0.1197917,0.1226563,273696000
3/6/2000,0.1234375,0.1328125,0.1208333,0.121875,432096000
3/7/2000,0.15625,0.1817708,0.1494792,0.1735677,1952208000
3/8/2000,0.1734701,0.1765625,0.1609375,0.175,668736000
3/9/2000,0.1770833,0.225,0.1765625,0.2089518,952944000
3/10/2000,0.2197917,0.3020833,0.2182292,0.2458333,2161200000
3/13/2000,0.2229167,0.3125,0.2208333,0.3109375,2415168000
3/14/2000,0.3092448,0.3092448,0.225,0.2294271,1567776000
3/15/2000,0.2458659,0.2522135,0.2125,0.2200521,995616000
3/16/2000,0.2270833,0.2348958,0.1929688,0.1961914,750384000
3/17/2000,0.1916667,0.2229167,0.1916341,0.2080729,557616000
3/20/2000,0.216276,0.2231771,0.2013021,0.2079427,365280000
3/21/2000,0.2083333,0.2101563,0.18125,0.1976563,536640000
3/22/2000,0.1992188,0.2052083,0.1958333,0.1990885,230592000
3/23/2000,0.1972656,0.2135417,0.196875,0.2026042,309408000
3/24/2000,0.2013021,0.2104167,0.1875,0.1941406,231600000
3/27/2000,0.19375,0.2,0.1796875,0.1813802,388944000
3/28/2000,0.1751302,0.1770833,0.1645833,0.1678385,393312000
3/29/2000,0.1684896,0.1723958,0.15,0.1567708,469440000
3/30/2000,0.1520833,0.1703125,0.146875,0.1558594,361920000
3/31/2000,0.1665039,0.1830729,0.1635417,0.1760091,962976000
4/3/2000,0.1744141,0.175,0.1576823,0.1622396,329952000
4/4/2000,0.1708333,0.1736979,0.11875,0.15625,513792000
4/5/2000,0.1578125,0.203125,0.1497396,0.1910156,639600000
4/6/2000,0.1998698,0.210026,0.1903646,0.1998698,404592000
4/7/2000,0.2098958,0.21875,0.2010417,0.2136719,318576000
4/10/2000,0.2173177,0.2299479,0.1907552,0.1947917,395280000
4/11/2000,0.1812174,0.1979167,0.1666667,0.1832031,457584000
4/12/2000,0.1834635,0.1875,0.1635417,0.1641927,313440000
4/13/2000,0.1654948,0.1713542,0.1544271,0.1571615,313296000
4/14/2000,0.1471354,0.1584635,0.1364583,0.1433268,421920000
4/17/2000,0.13125,0.15625,0.13125,0.150651,294096000
4/18/2000,0.1658203,0.1869792,0.1609375,0.1773438,477504000
4/19/2000,0.1829427,0.1854167,0.1666667,0.1688802,278352000
4/20/2000,0.1734375,0.1766927,0.165625,0.1679688,153936000
4/24/2000,0.1583333,0.1653646,0.1513021,0.1596354,205968000
4/25/2000,0.1667969,0.1822917,0.1664063,0.1770833,249696000
4/26/2000,0.1894531,0.19375,0.175,0.1752604,254112000
4/27/2000,0.1635417,0.1914063,0.1626302,0.1895833,280992000
4/28/2000,0.1925781,0.2,0.1856771,0.1856771,179040000
5/1/2000,0.1927083,0.196875,0.1871094,0.1916667,119424000
5/2/2000,0.1916667,0.2028646,0.1789063,0.1842448,234000000
5/3/2000,0.1830729,0.1890625,0.1666667,0.18125,329184000
5/4/2000,0.1808594,0.1911458,0.1792969,0.1834635,241200000
5/5/2000,0.1826823,0.1963542,0.1802083,0.1919271,170592000
5/8/2000,0.1869792,0.19375,0.1846354,0.1848958,185136000
5/9/2000,0.1880208,0.1895833,0.1770833,0.1822917,176832000
5/10/2000,0.1804688,0.180599,0.1627604,0.1643229,274080000
5/11/2000,0.1666667,0.174349,0.1644531,0.1713542,245904000
5/12/2000,0.1760417,0.1854167,0.1661458,0.1661458,187824000
5/15/2000,0.1653646,0.1804688,0.1572917,0.1776042,282096000
5/16/2000,0.1854167,0.2014323,0.1833333,0.1958333,366432000
5/17/2000,0.20625,0.2388021,0.2061198,0.2302083,1290624000
5/18/2000,0.2315104,0.2352865,0.213151,0.2145833,509904000
5/19/2000,0.2083333,0.2197917,0.2067708,0.2127604,521184000
5/22/2000,0.2104167,0.2265625,0.1917969,0.2265625,517152000
5/23/2000,0.2208333,0.2457031,0.2171875,0.2247396,778560000
5/24/2000,0.2244792,0.228125,0.1921875,0.221875,739632000
5/25/2000,0.2251302,0.2385417,0.2160156,0.21875,569184000
5/26/2000,0.2198568,0.2259115,0.20625,0.2198568,183456000
5/30/2000,0.2257813,0.2346354,0.2247396,0.2289063,303648000
5/31/2000,0.228125,0.2416667,0.228125,0.2377604,469536000
6/1/2000,0.2447917,0.2470052,0.2382813,0.244401,418992000
6/2/2000,0.2494792,0.2770833,0.2494792,0.2740885,592176000
6/5/2000,0.2736979,0.29375,0.2627604,0.2799805,491904000
6/6/2000,0.2809896,0.2914063,0.2645833,0.2660156,375888000
6/7/2000,0.2640625,0.266276,0.2502604,0.2541667,332352000
6/8/2000,0.2606771,0.2609375,0.2458333,0.2561198,460704000
6/9/2000,0.2609375,0.275,0.2570313,0.2634115,467280000
6/12/2000,0.2645833,0.2667969,0.2505208,0.2563802,380016000
6/13/2000,0.2492188,0.2645833,0.2479167,0.2644531,447840000
6/14/2000,0.269401,0.2708333,0.2607096,0.2641927,275088000
6/15/2000,0.2634115,0.2710938,0.2492188,0.2710938,338592000
6/16/2000,0.2701172,0.3125,0.2700521,0.3119792,987840000
6/19/2000,0.3111979,0.3567708,0.3033854,0.3315104,1052160000
6/20/2000,0.3372396,0.3411458,0.3229167,0.3270833,610272000
6/21/2000,0.3220052,0.3666667,0.3220052,0.3602865,614880000
6/22/2000,0.358724,0.3661458,0.3372396,0.340625,614352000
6/23/2000,0.3315104,0.3356771,0.3083333,0.3084635,607392000
6/26/2000,0.3145833,0.3476563,0.3096354,0.3457031,618288000
6/27/2000,0.3427083,0.3484375,0.2877604,0.296875,604608000
6/28/2000,0.303125,0.3145833,0.2770833,0.2854167,586608000
6/29/2000,0.2804688,0.2804688,0.2395833,0.2442708,1184880000
6/30/2000,0.2557292,0.2692708,0.2432292,0.2648438,1209192000
7/3/2000,0.2666667,0.275,0.2520833,0.2546875,232680000
7/5/2000,0.2536458,0.2541667,0.2197917,0.2273438,777936000
7/6/2000,0.2276042,0.2494792,0.2221354,0.2411458,603936000
7/7/2000,0.25,0.2541667,0.2375,0.2424479,346560000
7/10/2000,0.2382813,0.2609375,0.2359375,0.2549479,351264000
7/11/2000,0.2515625,0.2885417,0.2486979,0.2755208,755304000
7/12/2000,0.2869792,0.2976563,0.2778646,0.2833333,388152000
7/13/2000,0.2893229,0.3114583,0.2888021,0.3098958,458736000
7/14/2000,0.3161458,0.3221354,0.3,0.3075521,280200000
7/17/2000,0.3122396,0.3125,0.303125,0.3041667,105552000
7/18/2000,0.2875,0.3125,0.2875,0.2981771,183672000
7/19/2000,0.2875,0.2895833,0.2731771,0.2791667,189504000
7/20/2000,0.2789063,0.29375,0.278125,0.2867188,142992000
7/21/2000,0.2875,0.2958333,0.2833333,0.2903646,251928000
7/24/2000,0.290625,0.2927083,0.2541667,0.265625,281112000
7/25/2000,0.2697917,0.271875,0.2552083,0.2557292,335304000
7/26/2000,0.2557292,0.2557292,0.2296875,0.2367188,380064000
7/27/2000,0.2291667,0.2322917,0.2166667,0.2197917,331560000
7/28/2000,0.2208333,0.2414063,0.2083333,0.225,512664000
7/31/2000,0.2375,0.2505208,0.225,0.25,371232000
8/1/2000,0.25,0.2520833,0.2432292,0.2450521,350616000
8/2/2000,0.2416667,0.2540365,0.2377604,0.25,345432000
8/3/2000,0.225,0.2666667,0.225,0.2609375,368664000
8/4/2000,0.2671875,0.2708333,0.2614583,0.265625,194784000
8/7/2000,0.2674479,0.2888021,0.2664063,0.2864583,246936000
8/8/2000,0.2802083,0.2958333,0.2791667,0.2802083,128112000
8/9/2000,0.2838542,0.2856771,0.2679688,0.271875,136248000
8/10/2000,0.265625,0.28125,0.2604167,0.275,156432000
8/11/2000,0.2755208,0.2776042,0.2557292,0.2684896,131928000
8/14/2000,0.271875,0.2744792,0.2625,0.2710938,108576000
8/15/2000,0.2723958,0.3020833,0.2716146,0.2966797,443328000
8/16/2000,0.3127604,0.3127604,0.2950521,0.3041667,266232000
8/17/2000,0.3,0.3114583,0.2989583,0.3098958,129816000
8/18/2000,0.3085938,0.3244792,0.3080729,0.3208333,204720000
8/21/2000,0.3325521,0.3382813,0.325,0.3257813,464472000
8/22/2000,0.3088542,0.315625,0.2921875,0.2950521,658872000
8/23/2000,0.2903646,0.3127604,0.284375,0.3122396,352800000
8/24/2000,0.3104167,0.3236979,0.3046875,0.3205729,332616000
8/25/2000,0.3171875,0.3239583,0.3109375,0.3125,153048000
8/28/2000,0.3140625,0.3291667,0.3104167,0.325,189264000
8/29/2000,0.3263021,0.3270833,0.3208333,0.3242188,149376000
8/30/2000,0.3205729,0.3315104,0.3171875,0.3270833,178080000
8/31/2000,0.3320313,0.34375,0.3255208,0.3307292,388896000
9/1/2000,0.3375,0.340625,0.3276042,0.33125,204144000
9/5/2000,0.3390625,0.3393229,0.3294271,0.3317708,246144000
9/6/2000,0.3330729,0.3330729,0.30625,0.3088542,230136000
9/7/2000,0.3135417,0.3260417,0.3005208,0.3255208,239760000
9/8/2000,0.321875,0.3291667,0.3052083,0.30625,222648000
9/11/2000,0.3023438,0.3041667,0.2822917,0.29375,285888000
9/12/2000,0.2940104,0.309375,0.2875,0.2919271,125976000
9/13/2000,0.2911458,0.2966146,0.2848958,0.2917969,239976000
9/14/2000,0.2932292,0.30625,0.2854167,0.2890625,216336000
9/15/2000,0.2875,0.2994792,0.2854167,0.2953776,242592000
9/18/2000,0.2960938,0.2979167,0.275,0.278125,163488000
9/19/2000,0.2653646,0.2875,0.2625,0.2867188,301104000
9/20/2000,0.2789063,0.284375,0.2729167,0.2773438,227568000
9/21/2000,0.2794271,0.2955729,0.2791667,0.2892578,346824000
9/22/2000,0.2606771,0.2979167,0.2604167,0.2942708,387264000
9/25/2000,0.3033854,0.3197917,0.3010417,0.3153646,467568000
9/26/2000,0.31875,0.3265625,0.3041667,0.3229167,337344000
9/27/2000,0.3203125,0.3557292,0.3203125,0.340625,676128000
9/28/2000,0.3375,0.353125,0.3291667,0.3510417,333816000
9/29/2000,0.3411458,0.3541667,0.3354167,0.3411458,373872000
10/2/2000,0.3458333,0.359375,0.3244792,0.3330729,340584000
10/3/2000,0.3348958,0.3375,0.3125,0.3151042,300264000
10/4/2000,0.3067708,0.3166667,0.3026042,0.3114583,419568000
10/5/2000,0.3138021,0.3138021,0.2976563,0.3041667,525048000
10/6/2000,0.3049479,0.3070313,0.2809896,0.2851563,1027176000
10/9/2000,0.2778646,0.2958333,0.2583333,0.2914063,665256000
10/10/2000,0.2791667,0.2932292,0.2666667,0.2692708,415944000
10/11/2000,0.2528646,0.2864583,0.2427083,0.2716146,535776000
10/12/2000,0.2776042,0.29375,0.2583333,0.2609375,401616000
10/13/2000,0.2627604,0.2791667,0.2599609,0.2713542,578976000
10/16/2000,0.2713542,0.2713542,0.2588542,0.2651042,339216000
10/17/2000,0.2640625,0.2651042,0.2429688,0.2458333,463248000
10/18/2000,0.2299479,0.2559896,0.2190104,0.2419271,416952000
10/19/2000,0.2575521,0.26875,0.2536458,0.2653646,294888000
10/20/2000,0.2591146,0.296875,0.2572917,0.2901042,387360000
10/23/2000,0.2924479,0.2942708,0.2744792,0.2835938,182112000
10/24/2000,0.2822917,0.2869792,0.2734375,0.2744792,193968000
10/25/2000,0.2669271,0.2708333,0.2486979,0.2505208,385512000
10/26/2000,0.2520833,0.2708333,0.234375,0.2611979,265776000
10/27/2000,0.2614583,0.2679036,0.2458333,0.2552083,210960000
10/30/2000,0.2510417,0.2567057,0.2369792,0.2372396,192120000
10/31/2000,0.2466146,0.2630208,0.2390625,0.2589193,299256000
11/1/2000,0.2526042,0.2625,0.24375,0.2588542,304536000
11/2/2000,0.2679688,0.2854167,0.2635417,0.2786458,192888000
11/3/2000,0.275,0.3020833,0.2729167,0.296875,268632000
11/6/2000,0.3039063,0.3333333,0.3020833,0.3197917,635040000
11/7/2000,0.3145833,0.3145833,0.2875,0.2981771,258240000
11/8/2000,0.3015625,0.3015625,0.2848958,0.2893229,187080000
11/9/2000,0.271875,0.2854167,0.2463542,0.2591146,564528000
11/10/2000,0.2679688,0.28125,0.2385417,0.2450521,805248000
11/13/2000,0.2328125,0.2729167,0.225,0.2460938,530040000
11/14/2000,0.2625,0.2932292,0.2604167,0.2911458,470736000
11/15/2000,0.2859375,0.2950521,0.2742188,0.2873047,423864000
11/16/2000,0.2791667,0.2864583,0.2666667,0.2692708,235536000
11/17/2000,0.2713542,0.2851563,0.2552083,0.2640625,178776000
11/20/2000,0.2542969,0.2544271,0.2408854,0.24375,298752000
11/21/2000,0.2541667,0.25625,0.2265625,0.2390625,382512000
11/22/2000,0.2291667,0.2364583,0.2166667,0.2265625,409752000
11/24/2000,0.2291667,0.2484375,0.2291667,0.2395833,165072000
11/27/2000,0.2567708,0.2583333,0.2219401,0.2315104,363864000
11/28/2000,0.235026,0.2375,0.2091146,0.2142578,382344000
11/29/2000,0.2174479,0.2177083,0.1848958,0.2010417,636408000
11/30/2000,0.1838542,0.1838542,0.1515625,0.16875,981624000
12/1/2000,0.1791667,0.203125,0.178125,0.1854167,784080000
12/4/2000,0.1865885,0.1927083,0.1739583,0.1882813,474264000
12/5/2000,0.2015625,0.2088542,0.1828125,0.2005208,997224000
12/6/2000,0.1966146,0.2020833,0.1708333,0.171875,950928000
12/7/2000,0.1635417,0.1778646,0.1546875,0.16875,785184000
12/8/2000,0.1861979,0.2083333,0.1688151,0.2072917,853392000
12/11/2000,0.2005208,0.2114583,0.1953125,0.2072917,757632000
12/12/2000,0.2020833,0.2057292,0.1947917,0.2015625,409512000
12/13/2000,0.2007813,0.2041667,0.1822917,0.1859375,675072000
12/14/2000,0.1846354,0.1861979,0.16875,0.1731771,569016000
12/15/2000,0.1622396,0.1723958,0.1552083,0.1559896,1094424000
12/18/2000,0.1625,0.1666667,0.1588542,0.1611328,658872000
12/19/2000,0.1635417,0.178125,0.1458333,0.1489583,946200000
12/20/2000,0.1414063,0.1619792,0.1255208,0.1328125,1105392000
12/21/2000,0.1309896,0.1489583,0.1145833,0.1161458,845256000
12/22/2000,0.1255208,0.159375,0.1255208,0.1460938,949080000
12/26/2000,0.1479167,0.1494792,0.1307292,0.1401042,343824000
12/27/2000,0.1385417,0.1552083,0.1328125,0.1494792,339456000
12/28/2000,0.1434896,0.1541667,0.1411458,0.1502604,419232000
12/29/2000,0.15,0.1549479,0.1333333,0.1365234,495168000
1/2/2001,0.1375,0.1393229,0.1242188,0.1247396,290808000
1/3/2001,0.1208333,0.1643229,0.1177083,0.1630208,910368000
1/4/2001,0.1601563,0.1859375,0.1557292,0.1817708,815448000
1/5/2001,0.1802083,0.1809896,0.1510417,0.1545573,432768000
1/8/2001,0.1502604,0.1760417,0.1502604,0.1692708,573768000
1/9/2001,0.1716146,0.1760417,0.1632813,0.1726563,302904000
1/10/2001,0.1638021,0.1854167,0.1598958,0.1846354,392928000
1/11/2001,0.1802083,0.2078125,0.1770833,0.2,447648000
1/12/2001,0.2033854,0.215625,0.19375,0.1958333,669000000
1/16/2001,0.196875,0.196875,0.1773438,0.1804688,414984000
1/17/2001,0.1942708,0.2,0.1861979,0.1869792,592584000
1/18/2001,0.1869792,0.228125,0.1828125,0.2228516,948168000
1/19/2001,0.2291667,0.2375,0.2135417,0.2169271,1018704000
1/22/2001,0.2104167,0.21875,0.2023438,0.2083333,377712000
1/23/2001,0.2057292,0.2333333,0.2046875,0.2291016,433632000
1/24/2001,0.2289063,0.23125,0.2148438,0.228125,451728000
1/25/2001,0.2203125,0.2208333,0.2005208,0.2052083,440016000
1/26/2001,0.19375,0.2141927,0.1923177,0.2117188,259248000
1/29/2001,0.2052083,0.2130208,0.1979167,0.2127604,354168000
1/30/2001,0.2161458,0.2220052,0.2119792,0.2174479,243720000
1/31/2001,0.2177083,0.2260417,0.2104167,0.2151042,358344000
2/1/2001,0.2151042,0.2177083,0.2057292,0.2162109,371856000
2/2/2001,0.2164063,0.2213542,0.19375,0.1953125,320520000
2/5/2001,0.1950521,0.1963542,0.1835938,0.1950521,367584000
2/6/2001,0.1914063,0.2,0.1909505,0.1960938,250440000
2/7/2001,0.1947917,0.1963542,0.1765625,0.1869792,720384000
2/8/2001,0.1880208,0.1986979,0.1851563,0.1859375,384288000
2/9/2001,0.184375,0.1856771,0.1778646,0.1846354,259608000
2/12/2001,0.1825521,0.1846354,0.1708333,0.1796875,354336000
2/13/2001,0.1830729,0.19375,0.1809896,0.1851563,467736000
2/14/2001,0.1828125,0.2041667,0.175,0.1986979,690888000
